key,2,3
8,烏爾達哈與希拉狄哈,　　貝拉哈迪亞一分為二，成了對立中的兩國烏爾達哈與希拉狄哈。正如歷史所述，來生神之淚毀滅了希拉狄哈為兩國之爭畫上了永遠的句號。不久之後烏爾達哈就遷都至希拉狄哈舊日都城所在的地方，因此，如今在烏爾達哈王都的周邊和地下深處還有大量的希拉狄哈遺蹟。建造上下水道時，借用了當時的遺蹟，因此得名「希拉狄哈水道」……多麼諷刺啊，要知道當年兩國大規模戰爭的導火索正是水源地之爭。<hex:02100103>　　既然水道借用了希拉狄哈的遺蹟，那麼會通往另一座遺蹟自然不算怪事，但朕沒想到竟然能一路通到那座似乎是希拉狄哈王宮的地方。如果這座遺蹟當年是暴露在地面上的，大約早被薩納蘭的烈日和風沙吞噬，風化殆盡了。正是恰好被深埋于地下，才讓它能像如今這樣，彷彿時間都停止了一般，完好地儲存下來。<hex:02100103>　　平常是很難發現儲存得這樣好的遺蹟的吧。對歷史學者來說，那肯定是一座極其重要的調查目標。然而，進入水道通往遺蹟的方法實在是令人頭大，這樣下去恐怕是很難保證每次都能到達那座遺蹟的吧。朕現在最先要做的，就是修整前往那裡的道路。
9,國旗飄揚,　　每當看到希拉狄哈的國旗，就不由得會想起烏爾達哈和希拉狄哈兩國的初代國王是一對雙胞胎。不過，兩國的國旗之所以會如此相似，並不是因為這個原因。回到貝拉哈迪亞時代，國旗上的審理之天平兩端安放著的還是聖火和葡萄。後來，烏爾達哈繼承了象徵力量的聖火，希拉狄哈則傳承了象徵智慧的葡萄，雙方又各自選用了代表財富的寶石和代表力量的頭盔平衡天平。兩國均高舉己方那面與貝拉哈迪亞已一脈相承的國旗，宣稱本國作為天命所歸的繼承者的正當性。<hex:02100103>　　雖然兩國的國旗都帶有「力量」這個要素的象徵，但烏爾達哈的力量指的是「魔法」，希拉狄哈的力量指的是「武力」，這二者的性質大有不同。希拉狄哈國旗所描述的「力量」，更像是雲集於我國的鬥技場的那些劍鬥士所擁有的力量。<hex:02100103>　　現在回想起來，最後守在那裡的那台粗魯的守護者，正是希拉狄哈的風格。守護它頭部的那頂頭盔上還裝飾著纖細精美的葡萄花樣。而且它的身體也是與希拉狄哈白銀天平相似的顏色，即使在採光不佳的地底，也反射著炫目的銀光。可希拉狄哈早已毀滅了，它卻仍在那裡，守護著失去了主人的王宮，著實令人心生惋惜。
10,母親的眼瞳,　　可真沒想到，連這種常年封閉的地下遺蹟都能有盜墓的人闖進來。朕看遍了一路，愣是沒找到除了入口以外能進去的地方。當然，考慮到遺蹟的構造這麼複雜，還有朕沒能發現的入口也不算怪事。<hex:02100103>　　話又說回來了，關於這些盜墓者留下的塗鴉……朕現在回想起來，覺得他們指的是「娜夏孔雀石」。朕認為，那應該就是前往隱藏之地的鑰匙。不過，沒想到竟然是娜夏孔雀石，這讓朕該如何平靜地看待此事呢。<hex:02100103>　　為了應對第七靈災後復興的需求，而再次開發銅鈴銅山……在這個過程中出產的高品質孔雀石，被烏爾達哈的寶石商人命名為「娜夏孔雀石「。母后若是健在倒還好說，母后都離世這麼多年了，那群商人竟然還為了利益將寶石冠上母后的名字，這種行為自然讓朕深感不快。<hex:02100103>　　但讓朕沒想到的是，當商人們把娜夏孔雀石進獻給朕時，朕確實從寶石柔和的微光中看到了母后那雙溫柔地注視著朕的眼瞳。面對如此美妙的顏色，即使不滿，朕也只有接受這個命名了……
11,索恩朝的寶庫,　　在遺蹟里找到的那張紙的背面，朕找到了「希拉狄哈水道」、「索恩朝」、「寶物庫」這幾個單詞的塗鴉。那些盜墓者似乎認為索恩朝的寶庫就藏在希拉狄哈水道的某處。然而索恩朝向來以他們清廉節儉的政風而聞名。若不是索恩朝的國王願意禪位，現在的第二烏爾朝都不會存在。朕從未聽說過索恩朝有任何將王室寶物擅自帶走藏匿的傳聞……假設索恩一族的人真的將財寶藏在了某個地方，他們也定然知會了烏爾一族。若這個設想成立，那就可以假定烏爾家的歷代國王都對此知情，而朕的父王當然也對此有所瞭解。<hex:02100103>　　父王將鑰匙贈送給朕時曾說過，這把鑰匙能打開保管了烏爾達哈重要回憶的寶庫。並且，父王希望能在朕長大之後，將其中的一切展示給朕看……莫非，父王指的就是這個寶庫？<hex:02100103>　　雖然朕思考了很多，但說到底這些都不過是朕的假設。至少這次探訪的希拉狄哈王宮遺蹟中並沒有類似的場所。考慮到父王當時所表述的意思，朕認為這個寶庫如今仍藏在一個不為人知的地方。
12,父王和母后的信,　　在希拉狄哈水道的深處發現了裝滿財寶的倉庫。儲存在其中的目錄頂上寫有「愿烏爾王室能為了民眾與近鄰繼承這一切」的宣言，落款則是索恩朝末代國王的名字，後續的頁面上還有歷代國王的簽字。這本目錄的最後，由朕的父王簽名的那一頁夾著一張已然褪色的信件。「愿愛女娜娜莫能讀到此信」……這封用父王的筆跡寫就的信件上留下了如此的字眼。<hex:02100103>　　這封信介紹了這座寶庫，將這裡描述為只有王位繼承者才能知道的禁地，並提到了從索恩朝時代儲存至今的「人類與蜥蜴人攜手共鬥的證據」。這本是國王與國王之間代代相傳的機密，但父王考慮到自己遭遇不測的可能性，提前寫下了這封信有備無患。<hex:02100103>　　「娜娜莫，不知你長成了怎樣的一位淑女。女王對你來說應該是一條滿是坎坷的道路吧。作為父母，我們有一件事希望你能一直記得。在作為一個女王之前，你永遠是我們最愛也最驕傲的女兒。我們只希望能在你的臉上看到柔和的粉桃色，在你的口中聽到你靦腆的笑聲。你能健康快樂，我們就能放心了。」……信的結尾，父王和母后在寫完這句話后留下了他們的署名。<hex:02100103>　　父王、母后……請你們一定一定放心。朕如今的每一天，包括此刻，都很開心……
13,陰陽師的失物引發的騷動,　　曾經有一位技藝超群的陰陽師，他雖在製作咒具方面天賦異稟，可性格上卻是粗心大意，弄丟了好幾件做好的咒具。幾番之下，他製作了一個木箱，對其施加了無論被帶往何處都必將物歸原主的法術，命名為「防丟箱」，專門用來保管咒具。從那以後，箱子被盜后的確能原樣回來，可回來的也只有箱子……裡面的咒具早已被人取走。<hex:02100103>　　時守說整座聖凈院內有好幾個他做的防丟箱。這幾個箱子還被施加了抑制內部咒具魔力的法術，得以收納管理著「吸血妖刀」「幼樹土偶」等物品。我回收了放有妖刀的木箱，放有土偶的木箱在這次騷動中下落不明。據說只要俯首后將那個土偶安置在舉行儀式的小神社中，就能賜予周圍草木以活力，使其重返新綠。聖凈院將其用來保護御神木。不過，一旦使用方法不當土偶的力量就會失控，很可能會對這座山產生不好的影響，如果偶然尋到的話還是儘快回收比較好。
14,染血的妖刀,　　遠東之國仍處亂世之時，曾有位一騎當千、斬落無數敵將首級的猛士。他雖名震天下、勇猛如虎、百戰百勝，但正因其強大之甚，使得主君十分忌憚他會謀反……不出所料，他不久后就慘遭黑手，刺客奪下他的愛刀砍下了他的頭顱。從此以後，不知是猛士的怨恨還是其刀下無數亡魂的怨恨使然，那把刀的刀身變得鮮紅無比，無論用紙擦拭還是重新打磨都無法使其回到原本的顏色。更加險惡的是，當試圖用靈山的清水凈化這把刀時，它卻能從中獲得靈力，化為可怕的妖刀，驅使持刀之人行兇作惡。<hex:02100103>　　傳說之中的靈山毫無疑問就是腳下的六根山。時守先生也說過山中深處有一片清澈見底的小湖。整座山中，那一帶的靈力尤其強大，據說供奉重要物品的神社也設於其中。所謂的「底蘊厚重的物品」很可能就在那裡。然而只有高僧才知道如何前往神社……話說回來，這次經過的地方中並沒有發現形似神社的建築，現在也只能多多嘗試其他道路了吧。
15,沉默不語的盔甲,　　戰國時期曾有一位被冠以最強之名的猛士——猛虎，他生前所穿的全套盔甲被子孫們代代珍傳。然而在某一天早上，本應儲存在倉庫中的盔甲突然浸滿鮮血出現在宅邸的院子中，旁邊還有一具好似竊賊的男性屍體。雖說坊間都說這是祖先的靈魂穿上盔甲保護了倉庫的財物，可盔甲主人猛虎的子孫只對這不知緣由的狂暴感到不安。經過一番苦思冥想，子孫們最終將自己的傳家寶——猛虎的全套盔甲供奉給了聖凈院。 <hex:02100103>　　東方有著「萬物皆有神在」的觀念。我有時會想，無論是自然出現的巨像兵、元精，還是妖異、死靈一類，甚至是獲得靈性的瑞獸，是不是都被包含在這句話之內了呢，那套盔甲是否也是其中之一呢？如今其被討伐，真相已然無法知曉，可畢竟六根山中靈力豐富，也可能是盔甲吸收了濃郁的環境乙太后，附身在盔甲之上的存在也能化為異常龐大的身軀。我們沒有像傳說中的竊賊一樣命喪刀下，說是透支了幸運也不為過。
16,刀匠的出人頭地之路,　　紫州北部有位製作農具的男人，名為七草，他後來以刀匠的身份聲名遠揚，其成功事蹟可謂是遠東之國經久不衰的話題。最為有名的便是他那以四聖獸為靈感的四刀連鍛，其中兩把是仍在鎧鬼手中的「赤帝」和「青帝」，餘下兩把被稱作「白帝」和「黑帝」。這四把刀不僅刀身美麗，更是男人嶄露頭角的契機，因此也被認為有出人頭地的寓意。順便一提，「白帝」在言談間常被用來和名刀「風斷」相比較。<hex:02100103>　　椿說由於七草在六根山附近搭起過鍛冶屋，所以紫州北部吸引了許多鍛鐵匠到來，如今這裡已是名刀的一大產地。隨著淬火的工匠們不斷聚集，祭祀火神的活動也越來越頻繁。其中最負盛名的便是鍛鐵匠們點燃三盞燈籠的「三燈祭」。據說這是一種向火神祈願過去、現在、未來的作品都能蘊含力量的儀式。不過儀式起源眾說紛紜，也有說法認為「三燈」是因為「三」是非常吉利的數字，所以才將其作為數字的象徵用在祭典中。
17,樂器工匠與美麗的演奏者,　　在很久很久以前，有位工匠傾注自身全部技藝製作了一把琵琶。這把琵琶太過完美，以至於他不願讓普通的演奏者彈奏，只見歲月流逝，卻遲遲等不到合適的人。等到演奏者出現之時，工匠已經老了。當時突然出現了一位女演奏者，她彈奏的一曲如明月般美妙，足以彰顯她與這把琵琶的相稱。此後，她帶著琵琶遊走于遠東之國，以一場又一場的表演俘獲了人們的心。當工匠享盡天年之時，她和琵琶一同失去了蹤影。如今，人們在懷念她的彈奏的同時，還流傳著她是「琵琶的付喪神」的傳說。<hex:02100103>　　付喪神的存在形式多種多樣，不僅顯現方式不同，引發的事象也有好壞之分。一般來說，所謂「底蘊厚重的物品」本身就是名品絕品，所以格外受收藏家喜歡，若是其中還寄宿著付喪神，那價值更是水漲船高。不過，這僅限於琵琶這樣的善付喪神，若是寄宿著惡付喪神的物件，要想找到買家就需要先祓除災邪。
18,敗給慾望的女孩,　　某個村莊里有一位信仰虔誠的女孩。據說在某個歉收之年，女孩即使餓著肚子也不忘向神明獻上供品，祈願來年豐收。於是在某個晚上，神明出現在了女孩的夢中，女孩醒來后發現枕邊放著一把神奇的小錘，這是傳說中的「萬寶槌」。女孩一邊祈禱一邊揮動小錘，大米就像源源不斷的水流一樣涌出。然而，獲得救贖的女孩逐漸將祈禱拋到腦後，性格也變得傲慢，拿著金幣銀幣出遊享樂。她靠著小錘四處玩樂的事情越傳越廣，最終被一名前來搶奪小錘的赤鬼殺死了。<hex:02100103>　　我身為商人，即使沒有小錘也會思考讓金幣源源不斷涌出的方法。突然想起，在我還是生活在烏爾達哈小巷裡的孤兒時，有一天，初次見面的羅羅利特會長突然給了我一大筆金幣。會長對我說：「我聽說你是個眼光獨到的小孩兒，給你一天時間，把這些金幣翻倍。」 我很清楚對方的身份是什麼，所以毫無鬼心地想辦法把金幣翻倍后還給了他，之後會長把我招進了東阿爾迪納德商會。如果當初我像故事中的女孩一樣，被慾望矇蔽雙眼，手握巨款揮霍無度的話……現在的我會是什麼模樣呢。
19,提燈妖怪照亮的前方,　　那天晚上，雲彩遮住了月亮。據說巡夜的武士們走在昏暗的街道上，看見遠處有燈籠的光亮。他們一邊想著這麼晚了有誰在那，一邊朝著光亮走去。可走到之後那裡連個人影也看到，只有一盞被點亮的燈籠孤零零地擺在那裡。武士們雖然覺得奇怪，但擔心放著不管會發生火災，就伸手想要提起燈籠。沒想到就在這時，周圍突然冒出了無數鬼火。武士們膽都嚇破了，背後響起了一陣譏笑的聲音，聲音過後，鬼火和燈籠又忽然消失掉，周圍的一切就像什麼都沒發生過一樣，回到了原本的黑暗。<hex:02100103>　　這是在遠東之國家喻戶曉的「妖怪提燈」的故事。大多情況下它在嚇人之後就會消失，但令我意外的是，我們在六根山遇到的提燈妖怪居然攻擊了過來。據時守所述，這是高僧代代使用的燈籠，可能是為了保護聖凈院不被我們侵害才產生了攻擊意識。事後它變為普通燈籠后，我又重新調查了一下，發現上面用東方文字寫著「黑夜點亮之標，遵火神之儀式，照亮黃金之路」。我很在意這句話究竟是什麼意思。
20,勞作人的勇氣,　　在六根山附近的村莊里，有一位勤勞的青年正在辛勤勞作。此時，不知是誰突然大叫了一聲。他停下手中的農活抬頭一看，竟然是有隻可怕的野獸正要襲擊村民。青年非常焦急，因為他聽說最近野獸襲擊了好幾個村落，吃了好多人。這樣下去同伴會有生命危險……他鼓起勇氣把農具扔向野獸。天無絕人之路，農具剛好擊中了野獸的要害，受到驚嚇的野獸一溜煙就向著山裡逃走了。以此為契機，村莊里逐漸發展出了把稻草紮成野獸模樣並向其投擲農具，以此祈求消災和豐收的祭典。<hex:02100103>　　話說回來，我們這次帶回的農具上居然刻著「七草」的署名。這個人是有名的刀匠，年輕時他靠給當地農民製作工具維持生計。我聽說羅薇娜商會的刀匠們為了付自己賒的酒錢，每天都在敲水壺，應該和他差不多吧。另外，關於七草這個人還有許多其他傳聞，據說他非常喜歡四聖獸，以至於在自己的鍛冶屋四面都裝飾了精美的雕像。
21,武人的榮譽,　　遠東之國各地都設定著鎮壓地震的「要石」，我們造訪的六根山上也有，據說這其中也有故事。有一天，朝拜的武人對著要石雙手合十的時候，一旁突然出現了身體上插著農具的怪異野獸。野獸直接朝他襲來，慌忙應戰的武人用自己心愛的薙刀刺了過去，野獸踉踉蹌蹌地撞上了要石……霎時，地底傳來了不祥的異響。武人以為大地震即將到來，慌忙中鬆開了手，身上還插著薙刀的野獸一溜煙地逃走了。之後武人將沾染野獸之血的要石擦拭乾凈，地底的異響便平息了，沒有發生更大的災難。<hex:02100103>　　關於這個故事的說法眾說紛紜，有人說武人成功殺死了野獸，也有人說是野獸毛骨悚然的叫聲引發了地底響動。遠東之國自古以來便地震頻發，所以有很多將災難神化成詭異之物后與之戰鬥的故事。實際上，在薩雷安魔法大學的研究人員中，也有人堅定認為要石的本質是一種魔力裝置，通過設定在地脈結節點上就能達到穩定地脈流動的效果。
22,修行僧人的封印術,　　那天，在六根山深處修行的僧人正沉浸於冥想之中。在風都不曾吹過，連樹葉摩擦的聲音都沒有的寂靜之中，突然響起了踩在草地上的聲音。僧人以為是有人找自己有事，睜開眼一看，居然是個插著農具和薙刀的怪異身影。僧人發現那是瑞獸奴延的王——獅子王，便拿起了錫杖。雖然受傷的獅子王拚命求生，但畢竟它是襲擊了無數人的鬼怪，不能就這樣放任不管。在一番激烈的攻防之下，僧人用錫杖將獅子王封為了巖石。相傳聖凈院就是為了監視其封印而設立的。<hex:02100103>　　錫杖不僅僅是一根枴杖，它還能監視風吹草動釋放魔法，是保護自己免受威脅的利器。像我，我雖然無法像那位僧人一樣戰鬥，可只要有上這麼一根錫杖，那也能用來支撐身體，能更加輕鬆地爬上六根山。總之，雖然我體力不是很好，但完成這場冒險還是不在話下的。如果本次的探索使得事態升級成像在堆積的木箱、又或是像在陡峭的巖壁攀爬的情況，那我可就舉手投降了。
23,愿在花下相見,　　在某個地方，有一位陰陽師年紀輕輕就失去了深愛的妻子。離別的創傷久久不能痊癒，他也逐漸老去。他們在結婚之時曾種下過一棵櫻花樹，可櫻花樹開的花也在年年減少。他希望至少這棵寄宿著回憶的櫻花樹能保持活力。這時，和他同為陰陽師的妻子所作的土偶發出了光芒，讓櫻花樹回到了年輕時的模樣。他感覺是妻子在安慰自己，於是重新振作起來，在照料櫻花樹中度過了餘生。據說，他是在盛開的櫻花之中安詳離世的。<hex:02100103>　　說到櫻花我就想到我們遇到的那位名為「夜櫻」的忍者。椿說她是花隱一族的後人，繼承了以花為技巧的特殊忍術。看樣子她是埋火殿下派往六根山的臣子之一。據時守所述，她在騷動最激烈的時候幫助人們避難，還保護了來不及逃走的小孩。然而卻被鬼怪殺死了……甚至屍體還被什麼人操縱，這是何等令人痛心。
24,古董「大煙管」,　　一直以來，人們之間流傳著大煙管會給人帶來幸福或不幸的說法，但從來都沒有統一過。但實際上它並沒有這樣的力量，獲得它的每個人只是在把降臨在自己頭上的幸運或不幸的原因強加在它身上而已。即使是這樣的可疑之物，只要有豪雷那樣無底洞般的物慾和六根山上豐富的靈力，就足以讓付喪神寄宿其中。那麼得到大煙管的豪雷直到最後都被自己心愛的古董們包圍著，算是幸福嗎？還是說他慾望無法得到滿足最終變為鬼怪，算是不幸呢？<hex:02100103>　　我認為幸福還是不幸歸根結底還是取決於「心態」。我是個孤兒，一般來說這算是不幸吧，但我從來沒有覺得自己不幸過。倒不如說我在幼年時期就學會了經商，遇見了無數人，見識了無數東西。回顧過去我所積累的一切，就會覺得自己前半生並不差。我至今從未估量過自己是幸福還是不幸福，但至少我可以說現在的我是幸福的。
25,使魔和襲擊者的真實身份,『有個奇怪的人，操縱著一個像古哈沙亞一樣動的木像，非常可怕！』<hex:02100103><hex:02100103>聽到動的木像，最初我想到了類似魔像的存在。我聽說在東方地區，木製機關魔像被用於戰鬥......但當我提出這個問題時，卡利卡給了我答案。據說在阿羅阿羅島上，殘留著一種被稱為「誇誇」的類似使魔的存在，由島上昔日居民創造。很可能，動的木像的真實身份是誇誇。除此之外，島上還留存著類似誇誇的存在，如果不小心接觸到它們，可能會採取敵對行動，所以看到的話最好小心。<hex:02100103>在南洋群島源自的「秘術」中，寶石被認為是「物質和生命之間的中介物」。因此，使用寶石作為使魔的核心是衆所周知的。同樣地，如果仔細考慮，木材也可以被視為「物質和生命之間的中介」。換句話說，在寶石使用變得普遍之前的古老秘術中，以木材為核心製造使魔是常見的做法。因此，襲擊馬托夏他們的「奇怪的人」很可能是精通秘術的人。
26,阿羅阿羅島的定居者們,『阿羅阿羅島雖然自然豐富，周邊的漁場也不亞於薩貝尼亞島……但為什麼沒有人居住呢？』阿羅阿羅島雖美麗，但土地狹小，環境易受影響，自然資源也有限。這種環境往往容易受到自然災害的影響。歷史上也有無人化和人類入住交替的記錄，這一點也不難理解。<hex:02100103>據卡利卡從過去的島民那裡聽說，可以確認的最早居民大約是在第四星曆末期生活在那個島上。但在第五靈災，也被稱為大冰雪時代的到來時，他們留下了神子的雕像，然後突然消失了。他們被稱為「被遺忘的人」，儘管留下了痕跡，但他們的真實身份至今仍不得而知。<hex:02100103>隨著時間的推移，第六星曆時期定居在那裡的人精通航海術。後來，其中一部分人到達拜爾布蘭德島，參與了建立名為「尼姆」的城邦國家。但在第六靈災中，尼姆被毀，據說後裔逃到阿羅阿羅島。在第六星曆時期，他們發展了算術，並將一部分人再次送往拜爾布蘭德島傳播了「巴術」。最終，100年前的海底火山噴發導致阿羅阿羅島再次無人居住，但正如人們所說「歷史會重演」，也許不久將來會有新的定居者到來。
